Department,Region,Performance_Score
Finance,South,72
Marketing,South,51
IT,South,76
Marketing,East,91
Marketing,East,51
HR,West,75
IT,West,66
IT,North,89
IT,North,82
Marketing,West,58
Finance,East,92
IT,South,97
Marketing,West,88
HR,North,78
Finance,East,91
HR,West,75
Finance,West,84
Marketing,East,99
Sales,West,74
Finance,East,73
HR,South,62
Marketing,East,56
Finance,East,85
Sales,East,94
Sales,West,69
IT,West,50
IT,East,57
HR,West,95
Finance,North,65
Finance,North,63
IT,West,61
Finance,West,72
Finance,East,64
Sales,South,77
IT,West,83
Marketing,North,51
IT,East,81
Marketing,West,72
Sales,North,71
HR,North,74
Finance,South,71
Sales,East,71
Finance,East,98
HR,South,91
HR,South,55
Sales,East,64
HR,East,92
Marketing,West,86
HR,West,82
Finance,South,57
Finance,West,93
Finance,North,93
Finance,West,54
Marketing,West,88
IT,North,53
Sales,South,55
Finance,North,94
HR,West,81
Finance,South,79
HR,West,96
HR,North,84
Finance,North,89
Marketing,West,65
HR,East,62
HR,East,99
Finance,North,91
HR,North,79
HR,East,68
Finance,East,66
Finance,West,68
Sales,West,77
Marketing,East,75
Marketing,West,86
HR,West,75
Marketing,South,72
HR,West,58
Sales,North,61
Finance,West,50
Finance,West,50
Finance,East,96
Marketing,North,83
Sales,West,81
Marketing,West,97
Marketing,South,74
Sales,West,89
Sales,West,94
Sales,South,50
Sales,East,65
Finance,West,88
IT,South,54
IT,North,71
Sales,East,78
IT,North,52
IT,North,61
Sales,South,75
IT,West,65
Marketing,South,86
HR,South,71
HR,South,78
Sales,South,63
Finance,East,77
Sales,West,54
Finance,North,96
HR,North,98
Sales,West,79
Marketing,North,95
IT,West,54
Finance,North,61
IT,South,65
IT,North,75
Sales,West,75
IT,West,97
Marketing,West,70
IT,West,88
Sales,West,85
Marketing,East,82
HR,East,79
IT,North,86
Sales,West,72
HR,North,59
HR,West,54
Finance,West,85
Marketing,East,83
IT,East,80
Sales,South,59
Finance,East,68
Marketing,South,81
Finance,South,50
Marketing,South,54
Marketing,South,94
IT,South,53
Marketing,North,65
Finance,East,73
Marketing,South,65
IT,West,51
IT,East,98
Finance,East,77
HR,South,81
HR,North,76
Marketing,South,69
Sales,North,73
Marketing,West,61
Finance,East,99
Finance,West,84
Finance,North,82
Finance,North,82
Finance,West,92
IT,North,86
HR,West,61
Finance,East,52
Sales,West,50
Sales,East,82
Sales,West,89
Sales,North,59
IT,West,92
Sales,North,93
Finance,West,78
Marketing,West,62
Sales,South,61
IT,North,80
IT,South,95
Sales,North,51
Marketing,South,99
Sales,East,84
IT,West,72
HR,North,66
Finance,North,75
IT,West,57
Sales,North,78
Finance,North,75
Sales,South,59
Sales,North,75
HR,East,83
Finance,East,90
Finance,West,56
HR,North,53
IT,West,99
Sales,East,94
Marketing,North,60
Sales,North,78
Sales,West,85
IT,East,74
Sales,North,70
HR,West,85
HR,East,59
Finance,West,86
Marketing,South,58
Sales,North,73
Sales,South,84
IT,East,98
HR,South,84
Marketing,South,97
Finance,East,85
HR,West,67
Finance,South,98
IT,West,88
IT,South,81
Sales,West,73
Marketing,East,72
Finance,South,81
